id,question_id,participant_id,frisian,dutch,english,Arguments
2_117958,2,117958,"Inwoners zijn nodig. Het is ook heel leuk om mee te doen. Er is echter wel snel sprake van principiele keuzes die andere oplossingen weer uitsluiten. Op kleine schaal heel waardevol (incl mienskip) en dat zeker in combinatie met klimaat en hergebruik. Lokale initiatieven kunnen ook weer leiden tot versnippering terwijl elektriciteit altijd beschikbaar moet zijn, en inefficienties.","Inwoners zijn nodig. Het is ook heel leuk om mee te doen. Er is echter wel snel sprake van principiele keuzes die andere oplossingen weer uitsluiten. Op kleine schaal heel waardevol (incl mienskip) en dat zeker in combinatie met klimaat en hergebruik. Lokale initiatieven kunnen ook weer leiden tot versnippering terwijl elektriciteit altijd beschikbaar moet zijn, en inefficienties.","Residents are needed. It's also a lot of fun to get involved. However, there are quick choices of principle that exclude other solutions. Very valuable on a small scale (including mienskip) and that certainly in combination with climate and reuse. Local initiatives can also lead to fragmentation while electricity must always be available, and inefficiencies.",(Residents are needed) AND (It's a lot of fun to get involved)
2_117111,2,117111,"Ik ken zowel punten toe aan ""De gemeente neemt de leiding en ontzorgt"" als aan ""Inwoners doen het zelf"". Dit lijkt tegenstrijdig, en dat is het ook. Toch vind ik ook het eigen initiatief van bewoners belangrijk. Voor draagvlak, voor sociale cohesie, maar ook voor het beheer. Een lokale coöperatie zal aanzienlijk goedkoper energie kunnen leveren dan een commerciële partij. Ik heb een aarzeling bij de duurzaamheid. Mensen verhuizen, wijken veranderen, betrokkenheid kan minder worden. In hoeverre kan een coöperatie garanderen dat iedereen altijd toegang heeft tot energie?","Ik ken zowel punten toe aan ""De gemeente neemt de leiding en ontzorgt"" als aan ""Inwoners doen het zelf"". Dit lijkt tegenstrijdig, en dat is het ook. Toch vind ik ook het eigen initiatief van bewoners belangrijk. Voor draagvlak, voor sociale cohesie, maar ook voor het beheer. Een lokale coöperatie zal aanzienlijk goedkoper energie kunnen leveren dan een commerciële partij. Ik heb een aarzeling bij de duurzaamheid. Mensen verhuizen, wijken veranderen, betrokkenheid kan minder worden. In hoeverre kan een coöperatie garanderen dat iedereen altijd toegang heeft tot energie?","I assign points to both ""The municipality takes the lead and unburdens"" and to ""Residents do it themselves"". This seems contradictory, and it is. Nevertheless, I also think the residents' own initiative is important. For support, for social cohesion, but also for management. A local cooperative will be able to supply energy significantly cheaper than a commercial party. I have a hesitation about sustainability. People move, neighborhoods change, engagement can become less. To what extent can a cooperative guarantee that everyone always has access to energy?","(the residents' own initiative is important. For support, for social cohesion, but also for management) AND (A local cooperative will be able to supply energy significantly cheaper than a commercial party)"
5_6411,5,6411,Gezien de plaatsing van windmolens in IJsselmeer zou het de effectiviteit van deze vorm van energieopwekking vergroten alles er efficiënte opslag plaats kan vinden,Gezien de plaatsing van windmolens in IJsselmeer zou het de effectiviteit van deze vorm van energieopwekking vergroten alles er efficiënte opslag plaats kan vinden,"Given the installation of wind turbines in IJsselmeer, it would increase the effectiveness of this form of energy generation if efficient storage can take place.",None
1_117904,1,117904,afstemming en verdeling over gehele gemeente  gemeente kan als onafhankelijke partij de keuze maken tussen de belangen van individuen en woongemeenschappen,afstemming en verdeling over gehele gemeente  gemeente kan als onafhankelijke partij de keuze maken tussen de belangen van individuen en woongemeenschappen,"Coordination and distribution over the entire municipality As an independent party, the municipality can make the choice between the interests of individuals and residential communities",None
4_5937,4,5937,"ik zou graag een groot veld met zonne panelen zien, gedragen door de inwoners zelf, betaald door de inwoners zelf, op het moment dat een inwoner vertrekt naar buiten het gebied moet hij zijn deel weer terug kunnen verkopen, nieuwe inwoners moeten ook een deel kunnen aankopen. Op die manier wordt je als gemeente zelf voorzienend terwijl het betaalbaar is voor verreweg de meeste bewoners. Bewoners die geld-technisch niet zouden kunnen meedoen, moeten wel de zonne energie kunnen gebruiken, zoals ze nu stroom afnemen bij hun leverancier.","ik zou graag een groot veld met zonne panelen zien, gedragen door de inwoners zelf, betaald door de inwoners zelf, op het moment dat een inwoner vertrekt naar buiten het gebied moet hij zijn deel weer terug kunnen verkopen, nieuwe inwoners moeten ook een deel kunnen aankopen. Op die manier wordt je als gemeente zelf voorzienend terwijl het betaalbaar is voor verreweg de meeste bewoners. Bewoners die geld-technisch niet zouden kunnen meedoen, moeten wel de zonne energie kunnen gebruiken, zoals ze nu stroom afnemen bij hun leverancier.","I would like to see a large field of solar panels, worn by the inhabitants themselves, paid for by the inhabitants themselves, the moment a resident leaves for the area he should be able to sell his part back, new residents should also be able to buy a part. In this way, you as a municipality become self-sufficient while it is affordable for the vast majority of residents. Residents who would not be able to participate financially, must be able to use the solar energy, as they currently purchase electricity from their supplier.",(you as a municipality become self-sufficient while it is affordable for the vast majority of residents) AND (they currently purchase electricity from their supplier)
5_7259,5,7259,bij meer opslag kan er wellicht op piek momenten meer energie worden opgeslagen die weer op een ander moment kan worden gebruikt.  (dus uiteindelijk in totale capaciteit minder opwekken),bij meer opslag kan er wellicht op piek momenten meer energie worden opgeslagen die weer op een ander moment kan worden gebruikt.  (dus uiteindelijk in totale capaciteit minder opwekken),"With more storage, more energy can perhaps be stored at peak times that can be used at another time.  (i.e. ultimately generate less in total capacity)",None
4_120048,4,120048,"Hier heb ik 10 punten gegeven. Bij mij in de buurt komt al een vrij groot windpark, tussen Zurich en Witmarsum.  Dat vind ik voor Súdwest-Fryslân wel voldoende.  Het idee om Súdwest-Fryslân de leverancier van Nederland te maken lijkt mij een slecht idee.  Wij hebben hier wind, dus laten we ons beperken tot windmolens. Dan kunnen andere delen van het land met  minder wind investeren in grootschalige zonneparken. Graag de lasten verdelen.","Hier heb ik 10 punten gegeven. Bij mij in de buurt komt al een vrij groot windpark, tussen Zurich en Witmarsum.  Dat vind ik voor Súdwest-Fryslân wel voldoende.  Het idee om Súdwest-Fryslân de leverancier van Nederland te maken lijkt mij een slecht idee.  Wij hebben hier wind, dus laten we ons beperken tot windmolens. Dan kunnen andere delen van het land met  minder wind investeren in grootschalige zonneparken. Graag de lasten verdelen.","Here I have given 10 points. A fairly large wind farm is already coming near me, between Zurich and Witmarsum.  I think that's enough for Súdwest-Fryslân.  The idea of making Súdwest-Fryslân the supplier of the Netherlands seems to me to be a bad idea.  We have wind here, so let's limit ourselves to windmills. Then other parts of the country can invest in large-scale solar parks with less wind. Please share the burden.","(A fairly large wind farm is already coming near me, between Zurich and Witmarsum) AND (We have wind here)"
3_117973,3,117973,"De markt is geen betrouwbare partner. De opbrengst is belangrijk en de natuur en de omgeving zijn ondergeschikt, als daar schade ontstaat dan is dat maar zo. Tot nu toe was de werkwijze zoals net omschreven. Wellicht kan de gemeente hierin een dwingende rol spelen en alleen met marktpartijen samenwerken als de schade 0 is of zoveel mogelijk wordt hersteld op kosten van de marktpartij.","De markt is geen betrouwbare partner. De opbrengst is belangrijk en de natuur en de omgeving zijn ondergeschikt, als daar schade ontstaat dan is dat maar zo. Tot nu toe was de werkwijze zoals net omschreven. Wellicht kan de gemeente hierin een dwingende rol spelen en alleen met marktpartijen samenwerken als de schade 0 is of zoveel mogelijk wordt hersteld op kosten van de marktpartij.","The market is not a reliable partner. The yield is important and nature and the environment are secondary, if damage occurs there then so be it. Until now, the working method was as just described. Perhaps the municipality can play a coercive role in this and only cooperate with market parties if the damage is 0 or repaired as much as possible at the expense of the market party.",(The market is not a reliable partner) AND (The yield is important and nature and the environment are secondary)
6_119571,6,119571,Met dit voorstel is het natuurlijk wel lastig omdat je zoveel enerie opwekkers moet hebben. Dus eigenlijk vind ik dit een lastige stelling maar het idee om bepaalde delen in Nederland te helpen door duurzame energie vind ik een goed idee waar meer mee moet worden gedaan.,Met dit voorstel is het natuurlijk wel lastig omdat je zoveel enerie opwekkers moet hebben. Dus eigenlijk vind ik dit een lastige stelling maar het idee om bepaalde delen in Nederland te helpen door duurzame energie vind ik een goed idee waar meer mee moet worden gedaan.,"With this proposal it is of course difficult because you have to have so many enerie generators. So I actually think this is a difficult statement, but I think the idea of helping certain parts of the Netherlands through sustainable energy is a good idea that needs to be used more.",(you have to have so many enerie generators)
6_119369,6,119369,"We hebben op het platteland de ruimte om meer op te wekken dan te verbruiken. Ons hele polderland hebben we te danken aan windenergie. Het waait hier lekker. Laten we hier meer dan ons deel doen. Het zijn kansen. Een nieuw landschap is niet perse een slecht landschap. Maar wel de winst lokaal laten neerdalen. Het is de mensen gegund, dat ze wat meer te besteden hebben, bijv. voor duurzame produkten , die nu nog iets duurder zijn. Wonen en bouwgrond is veel te duur in Ned. Er wordt de mensen voor wonen teveel geld uit de zak geklopt. Door die hoge lasten, is de bereidheid om te investeren in duurzaam lager dan in de omliggende landen.","We hebben op het platteland de ruimte om meer op te wekken dan te verbruiken. Ons hele polderland hebben we te danken aan windenergie. Het waait hier lekker. Laten we hier meer dan ons deel doen. Het zijn kansen. Een nieuw landschap is niet perse een slecht landschap. Maar wel de winst lokaal laten neerdalen. Het is de mensen gegund, dat ze wat meer te besteden hebben, bijv. voor duurzame produkten , die nu nog iets duurder zijn. Wonen en bouwgrond is veel te duur in Ned. Er wordt de mensen voor wonen teveel geld uit de zak geklopt. Door die hoge lasten, is de bereidheid om te investeren in duurzaam lager dan in de omliggende landen.","We have the space in the countryside to generate more than we consume. We owe our entire polder country to wind energy. The wind is nice here. Let's do more than our part here. They are opportunities. A new landscape is not necessarily a bad landscape. But let the profits descend locally. People have been given a little more to spend, e.g. for sustainable products, which are now slightly more expensive. Living and building land is far too expensive in Ned. Too much money is being knocked out of people's pockets for housing. Because of these high costs, the willingness to invest in sustainability is lower than in the surrounding countries.",(We have the space in the countryside to generate more than we consume) AND (We owe our entire polder country to wind energy) AND (The wind is nice here) AND (They are opportunities) AND (A new landscape is not necessarily a bad landscape) AND (People have been given a little more to spend) AND (Living and building land is far too expensive in Ned) AND (Too much money is being knocked out of people's pockets for housing) AND (Because of these high costs)
